Cell_1_Traffic,Cell_2_Traffic,Cell_3_Traffic,Cell_4_Traffic,Cell_5_Traffic,Time_Bucket,Best_Action,Action_Binary
0,0,0,0,0,0,5,00101
0,0,0,0,0,1,2,00010
0,0,0,0,0,5,1,00001
0,0,0,0,1,0,0,00000
0,0,0,0,1,1,10,01010
0,0,0,0,1,5,16,10000
0,0,0,1,0,0,16,10000
0,0,0,1,0,1,12,01100
0,0,0,1,0,5,20,10100
0,0,0,1,1,0,2,00010
0,0,0,1,1,1,18,10010
0,0,0,1,1,5,21,10101
0,0,1,0,0,0,3,00011
0,0,1,0,0,1,15,01111
0,0,1,0,0,5,9,01001
0,0,1,0,1,0,3,00011
0,0,1,0,1,1,21,10101
0,0,1,0,1,5,4,00100
0,0,1,1,0,0,5,00101
0,0,1,1,0,1,26,11010
0,0,1,1,0,5,25,11001
0,0,1,1,1,1,5,00101
0,0,1,1,1,5,27,11011
0,0,1,2,1,2,1,00001
0,1,0,0,0,0,29,11101
0,1,0,0,0,1,21,10101
0,1,0,0,0,5,7,00111
0,1,0,0,1,0,7,00111
0,1,0,0,1,1,7,00111
0,1,0,0,1,5,13,01101
0,1,0,1,0,0,5,00101
0,1,0,1,0,1,31,11111
0,1,0,1,0,5,16,10000
0,1,0,1,1,0,0,00000
0,1,0,1,1,1,26,11010
0,1,0,1,1,2,0,00000
0,1,0,1,1,5,24,11000
0,1,1,0,0,0,9,01001
0,1,1,0,0,1,23,10111
0,1,1,0,0,5,6,00110
0,1,1,0,1,0,2,00010
0,1,1,0,1,1,18,10010
0,1,1,0,1,5,28,11100
0,1,1,1,0,1,11,01011
0,1,1,1,0,5,17,10001
0,1,1,1,1,1,14,01110
0,1,1,1,1,2,18,10010
0,1,1,1,1,4,1,00001
0,1,1,1,1,5,14,01110
0,1,1,2,1,2,0,00000
0,1,2,1,1,1,1,00001
0,1,2,1,1,2,1,00001
0,1,2,1,1,4,1,00001
0,2,1,1,1,4,0,00000
1,0,0,0,0,0,6,00110
1,0,0,0,0,1,7,00111
1,0,0,0,0,5,14,01110
1,0,0,0,1,0,7,00111
1,0,0,0,1,1,20,10100
1,0,0,0,1,5,16,10000
1,0,0,1,0,0,3,00011
1,0,0,1,0,1,5,00101
1,0,0,1,0,5,23,10111
1,0,0,1,1,0,1,00001
1,0,0,1,1,1,6,00110
1,0,0,1,1,5,31,11111
1,0,1,0,0,0,8,01000
1,0,1,0,0,1,12,01100
1,0,1,0,0,5,12,01100
1,0,1,0,1,0,1,00001
1,0,1,0,1,1,23,10111
1,0,1,0,1,5,21,10101
1,0,1,1,0,1,15,01111
1,0,1,1,0,5,5,00101
1,0,1,1,1,1,6,00110
1,0,1,1,1,2,12,01100
1,0,1,1,1,5,17,10001
1,0,1,1,2,2,1,00001
1,0,1,2,1,4,1,00001
1,1,0,0,0,0,5,00101
1,1,0,0,0,1,31,11111
1,1,0,0,0,5,20,10100
1,1,0,0,1,1,25,11001
1,1,0,0,1,2,0,00000
1,1,0,0,1,5,1,00001
1,1,0,1,0,1,24,11000
1,1,0,1,0,2,0,00000
1,1,0,1,0,5,4,00100
1,1,0,1,1,1,31,11111
1,1,0,1,1,2,10,01010
1,1,0,1,1,4,1,00001
1,1,0,1,1,5,25,11001
1,1,0,1,2,2,0,00000
1,1,0,2,1,2,1,00001
1,1,0,2,1,5,1,00001
1,1,1,0,0,0,1,00001
1,1,1,0,0,1,26,11010
1,1,1,0,0,5,0,00000
1,1,1,0,1,1,26,11010
1,1,1,0,1,2,14,01110
1,1,1,0,1,4,1,00001
1,1,1,0,1,5,1,00001
1,1,1,1,0,1,12,01100
1,1,1,1,0,2,14,01110
1,1,1,1,0,5,5,00101
1,1,1,1,1,1,1,00001
1,1,1,1,1,2,0,00000
1,1,1,1,1,4,5,00101
1,1,1,1,1,5,0,00000
1,1,1,1,2,2,21,10101
1,1,1,1,2,3,1,00001
1,1,1,1,2,4,3,00011
1,1,1,1,2,5,1,00001
1,1,1,2,1,2,26,11010
1,1,1,2,1,4,9,01001
1,1,1,2,1,5,4,00100
1,1,1,2,2,2,3,00011
1,1,1,2,2,3,9,01001
1,1,1,2,2,4,5,00101
1,1,2,0,1,5,1,00001
1,1,2,1,0,4,1,00001
1,1,2,1,1,2,8,01000
1,1,2,1,1,3,2,00010
1,1,2,1,1,4,26,11010
1,1,2,1,1,5,5,00101
1,1,2,1,2,2,17,10001
1,1,2,1,2,3,4,00100
1,1,2,1,2,4,29,11101
1,1,2,2,1,2,22,10110
1,1,2,2,1,3,5,00101
1,1,2,2,1,4,23,10111
1,1,2,2,2,2,12,01100
1,1,2,2,2,3,3,00011
1,1,2,2,2,4,3,00011
1,2,1,0,2,2,1,00001
1,2,1,1,0,1,1,00001
1,2,1,1,0,4,0,00000
1,2,1,1,1,2,5,00101
1,2,1,1,1,3,1,00001
1,2,1,1,1,4,29,11101
1,2,1,1,1,5,4,00100
1,2,1,1,2,2,21,10101
1,2,1,1,2,3,7,00111
1,2,1,1,2,4,18,10010
