policy,random
seed,42
hour,energy_wh,dropped_mbps,traffic_cell_1_mbps,traffic_cell_2_mbps,traffic_cell_3_mbps,traffic_cell_4_mbps,traffic_cell_5_mbps,cell_1_on,cell_2_on,cell_3_on,cell_4_on,cell_5_on
0,50.39795717483259,0.0,5.511237109166558,4.623071118144823,5.22195398782341,3.549468447684827,7.014352252557645,0,0,0,0,1
1,73.98770506390419,0.0,6.555583870857896,5.132061395122432,7.254482413936065,5.935018684504091,3.2814150742335233,1,1,1,1,1
2,50.63166791042444,0.0,3.3377911011739902,7.012456905446533,5.155704480859482,4.885831575741467,3.8936972140241055,0,1,0,0,0
3,55.97685610084043,0.0,8.449892148964771,5.695750507479105,5.148153827290495,5.300542370640251,7.069427842723408,1,0,0,0,1
4,68.84929866655243,0.0,8.022164364292871,8.05834114711666,11.479994342841817,6.383869108331663,6.172213682957819,1,1,1,1,0
5,51.80173259546797,0.0,7.122454543504246,9.981958845150993,11.007944585441784,8.522105084690251,7.069687046074946,1,0,0,0,0
6,58.3627859601311,0.0,11.860042737380496,12.045365504137978,11.645165698341485,9.227837747153705,11.023179807864533,0,1,0,1,0
7,66.08940047207223,0.0,12.733371618281456,12.937377193458026,14.24285755589638,12.947191097549364,13.857827126143789,1,1,1,0,0
8,67.25724798640599,0.0,15.019381635648875,15.703719289945987,11.526831198557574,13.801800405554303,13.500397529683315,1,0,0,1,1
9,48.0641704047512,0.0,14.972244303513316,15.699715497546633,19.23988262246879,14.518337768613513,18.186556709182963,0,0,0,0,0
10,75.78947588346773,0.0,17.133530798927556,18.12880698910912,18.975745521617664,19.225754018484817,19.38999532929896,1,1,0,1,1
11,63.69892586072365,0.0,18.297740383886413,18.070486943054156,20.711142290897598,18.61258187862006,16.443817881707446,0,1,0,0,1
12,56.72207930167871,0.0,17.905539125164786,20.738765185275536,20.02929516930914,21.125414405303545,18.88993840449494,1,0,0,0,0
13,71.22793583705302,0.0,20.317079382153427,21.251180787934672,19.381306920559524,20.913550475114825,18.6761481178667,1,1,1,0,0
14,64.65684448642321,0.0,18.98096790917135,17.35276440598993,20.718388658739173,18.805639016762562,19.769431934623384,0,1,0,1,0
15,50.15017535402291,0.0,19.95668384619511,19.88825288044318,20.325960746328864,18.798219559364444,18.148593904294984,0,0,0,0,0
16,71.08433910238753,0.0,14.428631990983046,14.909075914052933,15.157901634190303,15.808807203696142,18.60284931234598,1,0,1,0,1
17,62.30568289278107,0.0,14.439041889279878,15.49367489192122,18.84845659557213,15.537472057877148,17.725031136934174,0,0,1,0,1
18,69.0860697627058,0.0,14.030267722533646,12.541098728447743,13.76307668646778,16.121759113183696,10.986501991884209,1,0,0,1,1
19,67.52840842763023,0.0,13.368847287091715,12.975471204664556,11.311700088606411,9.60788429122309,12.644259015427739,0,1,1,1,0
20,72.78291039378587,0.0,11.024209584440502,10.60256145277798,13.762414944372924,10.080145906785045,8.511862176487364,1,1,1,1,0
21,72.060419081478,0.0,9.108551269912635,9.189993367943533,11.468375150480874,10.42022249182916,9.46374211829902,1,1,1,0,1
22,65.19045858242681,0.0,4.8191730324551925,5.917196075601399,5.343547258289845,6.417079534789359,4.443326845988277,1,0,1,0,1
23,56.44806538467257,0.0,4.8191730324551925,5.917196075601399,5.343547258289845,6.417079534789359,4.443326845988277,1,1,0,0,0
